variant,mode,cache,M,K,N,threads,KiB,reps,GFLOPS,pct_of_330,pct_of_330xthreads,stride_factor,batch_count
i8_neon_noload,i32,GT_L2,512,512,4096,8,10496.0,40,2904.67,440.10,55.01,1,1
i8_neon_compute_only,i32,GT_L2,512,512,4096,8,10496.0,40,2647.26,401.10,50.14,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,4,4608.0,40,1339.50,202.95,50.74,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,4,4608.0,40,1339.71,202.99,50.75,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,4,4608.0,40,2005.41,303.85,75.96,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,4,4608.0,40,2067.30,313.23,78.31,1,1
i8_neon_full,i32,GT_L2,64,4096,1024,4,4608.0,40,845.57,128.12,32.03,1,1
i8_neon_nostore,i32,GT_L2,64,4096,1024,4,4608.0,40,902.78,136.78,34.20,1,1
i8_neon_noload,i32,GT_L2,64,4096,1024,4,4608.0,40,1725.38,261.42,65.36,1,1
i8_neon_compute_only,i32,GT_L2,64,4096,1024,4,4608.0,40,1322.57,200.39,50.10,1,1
i8_sve_full,i32,GT_L2,64,4096,1024,8,4608.0,40,2489.76,377.24,47.15,1,1
i8_sve_nostore,i32,GT_L2,64,4096,1024,8,4608.0,40,2492.09,377.59,47.20,1,1
i8_sve_noload,i32,GT_L2,64,4096,1024,8,4608.0,40,3511.33,532.02,66.50,1,1
i8_sve_compute_only,i32,GT_L2,64,4096,1024,8,4608.0,40,3622.15,548.81,68.60,1,1
i8_neon_full,i32,GT_L2,64,4096,1024,8,4608.0,40,1612.38,244.30,30.54,1,1
i8_neon_nostore,i32,GT_L2,64,4096,1024,8,4608.0,40,1658.97,251.36,31.42,1,1
i8_neon_noload,i32,GT_L2,64,4096,1024,8,4608.0,40,3181.32,482.02,60.25,1,1
i8_neon_compute_only,i32,GT_L2,64,4096,1024,8,4608.0,40,2635.52,399.32,49.92,1,1
