lib,impl,dtype,cache,M,K,N,threads,KiB,reps,perf,status,note
acl,acl_auto,i8,GT_L2,1024,1024,4096,1,21504.0,1,481.465,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,4096,1,26656.0,1,226.767,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,4096,1,21560.0,1,425.925,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,4096,2,26624.0,1,410.41,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,4096,2,21504.0,1,787.63,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,4096,2,26624.0,1,314.56,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,4096,2,21504.0,1,654.53,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,4096,2,21504.0,1,473.25,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,4096,2,26624.0,1,402.491,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,4096,2,21504.0,1,805.963,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,4096,2,26656.0,1,324.581,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
kleidiai,kleidiai_i8_neon_i8mm,i8,GT_L2,1024,1024,4096,2,21560.0,1,686.582,ok,fixed=kai_matmul_clamp_f32_qai8dxp4x8_qsi8cxp4x8_16x4_neon_i8mm; instr=smmla; output=f32_dequant; omp=m_blocks
i8gemm,i8gemm_sve,bf16,GT_L2,1024,1024,4096,4,26624.0,1,752.15,ok,
i8gemm,i8gemm_sve,i8,GT_L2,1024,1024,4096,4,21504.0,1,1431.12,ok,
i8gemm,i8gemm_neon,bf16,GT_L2,1024,1024,4096,4,26624.0,1,512.06,ok,
i8gemm,i8gemm_neon,i8,GT_L2,1024,1024,4096,4,21504.0,1,1161.08,ok,
i8gemm,i8gemm_neon_m16n4,i8,GT_L2,1024,1024,4096,4,21504.0,1,864.03,ok,
acl,acl_auto,bf16,GT_L2,1024,1024,4096,4,26624.0,1,725.316,ok,selected=sve_interleaved_bf16fp32_mmla_8x3VL; compatible=sve_interleaved_bf16fp32_mmla_8x3VL|sve_hybrid_bf16fp32_mmla_6x4VL|sve_hybrid_bf16fp32_dot_6x4VL|sve_interleaved_bf16fp32_dot_8x3VL|a64_hybrid_bf16fp32_mmla_6x16|a64_interleaved_bf16fp32_mmla_8x12|a64_hybrid_bf16fp32_dot_6x16|a64_interleaved_bf16fp32_dot_8x12|a64_sgemm_8x12
acl,acl_auto,i8,GT_L2,1024,1024,4096,4,21504.0,1,1463.995,ok,selected=sve_interleaved_s8s32_mmla_8x3VL; compatible=sve_hybrid_s8s32_mmla_6x4VL|sve_interleaved_s8s32_mmla_8x3VL|sve_hybrid_s8s32_dot_6x4VL|sve_interleaved_s8s32_dot_8x3VL|a64_interleaved_s8s32_mmla_8x12|a64_hybrid_s8s32_mmla_6x16|a64_gemm_s16_8x12|a64_hybrid_s8s32_dot_6x16|a64_gemm_s8_8x12|a64_gemm_s8_4x4
kleidiai,kleidiai_bf16_neon_mmla,bf16,GT_L2,1024,1024,4096,4,26656.0,1,600.257,ok,fixed=kai_matmul_clamp_f32_bf16p8x4_bf16p12x4b_8x12_neon_mmla; instr=bfmmla; omp=m_blocks
